Subscription ID,Variant ID,Line Quantity,Line Discounted Price
12038733933,40204104171629,1,29.56
12038701165,40204107055213,1,29.56
12038668397,40204806422637,1,29.56
12038635629,40204091097197,1,51.12
12038602861,39650215788653,1,27.96
12038570093,40204091064429,2,59.12
12038537325,40570144620653,1,29.56
12038504557,39527123583085,1,27.96
12038471789,40204085002349,1,29.56
12038439021,40204085035117,1,51.12
12038406253,40204091097197,2,102.24
12038373485,40204107087981,1,51.12
12038340717,40204067405933,1,46.01
12038307949,40204091097197,1,51.12
12038275181,39527123583085,1,27.96
12038242413,40204085002349,1,29.56
12038209645,40570144620653,1,29.56
12038176877,40570144620653,1,40.21
12038144109,40204107087981,1,51.12
12038111341,40204091064429,1,29.56
12038078573,40570144653421,1,51.12
12038045805,40204107087981,1,51.12
12038013037,40204107087981,1,51.12
12037980269,40316202844269,1,29.56
12037947501,40204107055213,1,29.56
12037914733,40204104171629,1,29.56
12037881965,39558482067565,2,59.12
12037849197,40204091097197,1,51.12
12037816429,39650215788653,1,27.96
12037783661,40204067405933,1,51.12
12037750893,40204022874221,1,51.12
12037718125,40204107087981,1,51.12
12037685357,39527123583085,1,27.96
12037652589,40204104171629,1,29.56
12037619821,39650215788653,1,27.96
12037587053,40204085035117,1,43.46
12037554285,40204104171629,1,29.56
12037521517,40204085035117,2,102.24
12037488749,40204067405933,1,51.12
12037455981,40204091097197,1,51.12
12037423213,40570144653421,1,51.12
12037390445,39527123583085,1,27.96
12037357677,40570144620653,1,29.56
12037324909,40204091097197,1,51.12
12037292141,40204093489261,1,51.12
12037259373,40570144653421,1,51.12
12037226605,40204085002349,1,29.56
12037193837,40204022841453,1,29.56
12037161069,40204806422637,1,29.56
12037128301,40204085002349,1,29.56
12037095533,40204091097197,1,51.12
12037062765,39743656558701,1,25.17
12037029997,40204067405933,1,40.9
12036997229,40570144620653,1,29.56
12036964461,40204085035117,1,51.12
12036931693,40204107055213,1,29.56
12036898925,40204806455405,1,51.12
12036866157,40204091064429,1,29.56
12036833389,40204091064429,1,29.56
12036800621,39527124828269,1,27.96
12036767853,40204085002349,1,29.56
12036735085,40570144653421,1,51.12
12036702317,40316202877037,1,51.12
12036669549,40204067373165,1,29.56
12036636781,40204091064429,2,59.12
12036604013,40204085035117,2,102.24
12036571245,40204085035117,1,51.12
12036538477,40570144653421,2,102.24
12036505709,40204067373165,1,29.56
12036472941,40204085035117,1,51.12
12036440173,40204085035117,1,51.12
12036407405,40204093456493,1,29.56
12036374637,40204806422637,1,29.56
12036341869,40204107087981,1,51.12
12036309101,40570144620653,1,29.56
12036276333,40204067373165,1,29.56
12036243565,40204091097197,2,102.24
12036210797,40204022841453,1,29.56
12036178029,40570144653421,1,51.12
12036145261,40204091097197,1,51.12
12036112493,40204085002349,1,29.56
12036079725,40204107055213,1,29.56
12036046957,40204806422637,1,29.56
12036014189,40204091064429,3,88.68
12035981421,40204085002349,1,29.56
12035948653,40204085002349,1,29.56
12035915885,40570144620653,1,29.56
12035883117,40204067405933,1,51.12
12035850349,40204091097197,1,51.12
12035817581,40204085002349,1,29.56
12035784813,40204085002349,1,29.56
12035752045,39650215788653,1,27.96
12035719277,40204091097197,1,38.34
12035686509,40204091097197,1,51.12
12035653741,40204091097197,1,46
12035620973,39650215788653,1,27.96
12035588205,40204022841453,1,29.56
12035555437,40204107087981,1,51.12
12035522669,39527123583085,2,55.92
12035489901,40204085035117,1,51.12
12035457133,40570144653421,1,51.12
12035424365,40204107055213,1,29.56
12035391597,40204107087981,1,51.12
12035358829,40204085035117,1,51.12
12035326061,40204085002349,1,29.56
12035293293,39527123583085,1,27.96
12035260525,40204085002349,1,29.56
12035227757,40204022841453,1,29.56
12035194989,40204091064429,1,29.56
12035162221,39527123583085,1,27.96
12035129453,40204104171629,1,29.56
12035096685,39650215788653,1,27.96
12035063917,40570144653421,1,51.12
12035031149,40204806422637,1,29.56
12034998381,40204085002349,1,29.56
12034965613,40204085035117,1,51.12
12034932845,40204085035117,1,51.12
12034900077,40204806422637,1,29.56
12034867309,40204104171629,1,29.56
12034834541,39650215788653,1,27.96
12034801773,40204085035117,1,51.12
12034769005,40204093489261,1,51.12
12034736237,39527123583085,1,27.96
12034703469,40204085002349,1,29.56
12034670701,40204107055213,1,29.56
12034637933,40204091064429,1,29.56
12034605165,40570144620653,1,29.56
12034572397,40204104204397,2,102.24
12034539629,40570144653421,1,51.12
12034506861,40204091097197,1,51.12
12034474093,40204107087981,1,51.12
12034441325,40570144653421,1,51.12
12034408557,40204091064429,1,29.56
12034375789,39650215788653,1,27.96
12034343021,40570144620653,1,29.56
12034310253,40570144620653,1,29.56
12034277485,39527123583085,1,27.96
12034244717,40204806455405,1,51.12
12034211949,40204091064429,1,29.56
12034179181,40628265091181,1,29.56
12034146413,40204107087981,1,43.46
12034113645,40204107087981,1,51.12
12034080877,39558482067565,1,29.56
12034048109,40204091097197,1,51.12
12034015341,40204085035117,1,51.12
12033982573,39527123583085,1,27.96
12033949805,40204085035117,1,51.12
12033917037,40204104171629,1,29.56
12033884269,40204104171629,1,29.56
12033851501,39650215788653,1,27.96
12033818733,40204085002349,2,59.12
12033785965,40204091064429,1,29.56
12033753197,40316202877037,1,51.12
12033720429,39650215788653,1,23.76
12033687661,40316202877037,1,51.12
12033654893,40204091064429,1,29.56
12033622125,40204107087981,1,51.12
12033589357,40204085035117,1,51.12
12033556589,40570144653421,1,51.12
12033523821,40204091097197,1,51.12
12033491053,40570144653421,1,51.12
12033458285,40204104204397,1,51.12
12033425517,40204806422637,1,29.56
12033392749,40204107087981,1,51.12
12033359981,40204806422637,1,29.56
12033327213,40570144620653,1,29.56
12033294445,40570144653421,1,51.12
12033261677,40204085002349,1,29.56
12033228909,40570144620653,1,29.56
12033196141,40570144620653,1,29.56
12033163373,39650215788653,1,27.96
12033130605,40204806422637,1,29.56
12033097837,39558496911469,1,51.12
12033065069,40316202877037,2,102.24
12033032301,39527123583085,1,27.96
12032999533,40570144620653,1,29.56
12032966765,40204107087981,1,38.34
12032933997,40204085035117,1,51.12
12032901229,40204104171629,1,29.56
12032147565,40204085002349,1,29.56
12032868461,40204093456493,1,29.56
12032835693,40204104171629,1,29.56
12032802925,40204085035117,1,51.12
12032770157,40204806422637,1,29.56
12032737389,40204085002349,1,29.56
12032704621,40204104171629,1,29.56
12032671853,40204093489261,1,51.12
12032639085,39743656558701,1,27.96
12032606317,40204085035117,1,51.12
12032573549,40204093489261,1,51.12
12032540781,40204091064429,1,29.56
12032508013,40204107087981,1,51.12
12032475245,40204091097197,1,51.12
12032442477,40204085035117,1,51.12
12032409709,13210317291629,1,11.96
12032376941,40204107055213,1,29.56
12032344173,39527124828269,1,27.96
12032311405,40204107055213,1,29.56
12032278637,40204085002349,1,29.56
12032245869,40204107055213,1,29.56
12032213101,40570144620653,1,29.56
12032180333,40204085002349,1,29.56
12032114797,40204093456493,1,29.56
12032082029,40316202877037,2,102.24
12032049261,40204107055213,2,59.12
12032016493,40204093456493,1,29.56
12031983725,39743656558701,4,111.84
12031950957,39527123583085,1,27.96
12031918189,40204091097197,1,51.12
12031885421,40204107055213,1,26.61
12031852653,40204806422637,1,29.56
12031819885,39527124828269,1,27.96
12031787117,39527124828269,1,27.96
12031754349,40204091064429,1,29.56
12031721581,40204091097197,1,51.12
12031688813,40204104204397,1,51.12
12031656045,40204085035117,5,255.6
12031623277,40204091064429,1,29.56
12031590509,40316202844269,1,29.56
12031557741,40204093456493,1,29.56
12031524973,40204104171629,1,29.56
12031492205,40204093489261,2,102.24
12031459437,40204091064429,1,29.56
12031426669,40204085035117,1,51.12
12031393901,40204104171629,1,29.56
12031361133,40204093456493,1,29.56
12031328365,40204091064429,1,29.56
12031295597,39527124828269,1,27.96
12031262829,40204093489261,2,102.24
12031230061,40204067373165,1,29.56
12031197293,40204093489261,1,51.12
12031164525,40204085035117,1,51.12
12031131757,40570144653421,1,51.12
12031098989,39650215788653,1,27.96
12031066221,40204091097197,1,43.45
12031033453,40204091097197,1,51.12
12031000685,40204104204397,1,51.12
12030967917,40204085035117,1,51.12
12030935149,40204091097197,1,51.12
12030902381,39650215788653,1,27.96
12030869613,40204806455405,1,51.12
12030836845,40204107087981,1,51.12
12030804077,40204085035117,1,51.12
12030771309,39650215788653,1,27.96
12030738541,39650215788653,1,27.96
12030705773,40204085002349,1,29.56
12030673005,39527123583085,1,27.96
12030640237,40204806422637,1,29.56
12030607469,40204091097197,1,51.12
12030574701,40204085002349,1,29.56
12030541933,40570144620653,1,29.56
12030509165,40204091064429,1,29.56
12030476397,40570144620653,1,29.56
12030443629,40204091097197,1,51.12
12030410861,39650215788653,2,55.92
12030378093,40204107055213,1,29.56
12030345325,40204067405933,1,51.12
12030312557,39527124828269,2,55.92
12030279789,40570144653421,1,51.12
12030247021,40204085035117,1,51.12
12030214253,40570144653421,1,51.12
12030181485,40204107087981,1,51.12
12030148717,39527123583085,2,55.92
12030115949,40570144653421,2,102.24
12030083181,40204091064429,2,59.12
12030050413,40204091064429,1,29.56
12030017645,40204806422637,1,29.56
12029984877,39650215788653,1,27.96
12029952109,40204085002349,1,29.56
12029919341,40204085002349,1,29.56
12029886573,39743656558701,1,27.96
12029853805,39527124828269,1,27.96
12029821037,40204091097197,1,51.12
12029788269,40204085002349,1,29.56
12029755501,40204091064429,1,29.56
12029722733,40204091097197,1,51.12
12029689965,40204806455405,1,51.12
12029657197,40204806455405,1,51.12
12029624429,40204022874221,1,51.12
12029591661,40204107087981,1,51.12
12029558893,40204091064429,3,88.68
12029526125,40204091097197,2,102.24
12029493357,40204107087981,1,51.12
12029460589,40204107087981,1,51.12
12029427821,40204085035117,1,51.12
12029395053,40204107055213,1,29.56
12029362285,39527123583085,1,27.96
12029329517,40204091064429,1,29.56
12029296749,39527123583085,1,27.96
12029263981,39650215788653,1,27.96
12029198445,40570144620653,1,29.56
12029165677,40316202844269,1,29.56
12029132909,40204107055213,2,59.12
12029100141,39558483083373,1,29.56
12029067373,40204104171629,1,29.56
12029034605,39650215788653,1,27.96
12029001837,40204107087981,1,51.12
12028969069,40570144653421,1,51.12
12028936301,40204091097197,1,51.12
12028903533,39650215788653,1,27.96
12028870765,40570144620653,1,29.56
12028837997,39558497468525,1,51.12
12028805229,40204091064429,1,29.56
12028772461,40204085002349,1,29.56
12028739693,40204107087981,2,102.24
12028706925,39650215788653,1,27.96
12028674157,39650215788653,1,27.96
12028641389,40204067373165,1,29.56
12028608621,40204091064429,1,29.56
12028575853,40204091097197,1,51.12
12028543085,39527123583085,2,55.92
12028510317,40204091064429,1,29.56
12028477549,39743656558701,1,27.96
12028444781,40204085002349,1,29.56
12028412013,40204107087981,2,86.91
12028379245,40204022874221,2,102.24
12028346477,40204093489261,1,51.12
12028313709,40204107055213,1,29.56
12028280941,40204093456493,1,29.56
12028248173,40204093456493,1,29.56
12028215405,40204104204397,1,51.12
12028182637,40204085002349,1,29.56
12028149869,40204091097197,1,51.12
